name,party,year,geography,war,war_text
Bonnie Watson Coleman,D,2024,NJ-12,-2.6,R+2.6
Brad Allen,R,2022,CA-24,4.5,R+4.5
Brad Ashford,D,2016,NE-02,0.7,D+0.7
Brad Finstad,R,2024,MN-01,1.1,R+1.1
Brad Knott,R,2024,NC-13,-3.5,D+3.5
Brad Pfaff,D,2022,WI-03,0.5,D+0.5
Brad Schneider,D,2024,IL-10,-4.0,R+4
Brad Sherman,D,2024,CA-32,-2.8,R+2.8
Brad Wenstrup,R,2022,OH-02,-0.4,D+0.4
Bradley Byrne,R,2018,AL-01,-2.1,D+2.1
Brandon Brown,D,2018,SC-04,-1.0,R+1
Brandon Gill,R,2024,TX-26,1.8,R+1.8
Brandon Martin,R,2020,AZ-02,0.2,R+0.2
Brandon Wade,D,2024,OK-02,4.9,D+4.9
Brandon Williams,R,2024,NY-22,-5.1,D+5.1
Braylon Harris,D,2020,LA-03,3.6,D+3.6
Brenda Cleary,D,2014,NC-13,8.9,D+8.9
Brenda Lawrence,D,2020,MI-14,1.1,D+1.1
Brendan Boyle,D,2024,PA-02,3.9,D+3.9
Brendan Kelly,D,2018,IL-12,-1.0,R+1
Brent Ottaway,D,2018,PA-13,-3.6,R+3.6
Brent Sonnek-Schmelz,R,2016,NJ-06,-6.3,D+6.3
Brett Guthrie,R,2024,KY-02,2.1,R+2.1
Brett Murdock,D,2016,CA-39,-4.5,R+4.5
Brian Babin,R,2024,TX-36,-1.8,D+1.8
Brian Evans,R,2018,HI-02,-10.8,D+10.8
Brian Fitzpatrick,R,2024,PA-01,8.8,R+8.8
Brian Flowers,R,2022,MS-02,-2.0,D+2
Brian Hawkins,R,2022,CA-25,-5.9,D+5.9
Brian Heinrich,R,2016,OR-01,2.9,R+2.9
Brian Higgins,D,2022,NY-26,12.4,D+12.4
Brian Jack,R,2024,GA-03,-0.3,D+0.3
Brian Jaye,D,2022,MI-09,-0.4,R+0.4
Brian Kelly,R,2020,NY-07,-1.8,D+1.8
Brian Kenderes,D,2024,OH-14,-4.3,R+4.3
Brian Maryott,R,2022,CA-49,1.2,R+1.2
Brian Mast,R,2024,FL-21,2.7,R+2.7
Brian Nestande,R,2014,CA-36,-10.0,D+10.0
Brian Reese,D,2014,GA-01,-0.2,R+0.2
Brian Roberts,D,2024,IL-12,-0.1,R+0.1
Brian Wonnacott,D,2014,UT-03,-2.5,R+2.5
Bridget Fleming,D,2022,NY-01,-0.1,R+0.1
Britani Potter,D,2016,KS-02,-4.2,R+4.2
Brittany Pettersen,D,2024,CO-07,-2.0,R+2
Bruce Blakeman,R,2014,NY-04,-5.3,D+5.3
Bruce Davis,D,2016,NC-13,2.2,D+2.2
Bruce Lou,R,2024,CA-11,10.6,R+10.6
Bruce Poliquin,R,2022,ME-02,-8.3,D+8.3
Bruce Westerman,R,2024,AR-04,1.7,R+1.7
Bryan Berghoef,D,2020,MI-02,-4.4,R+4.4
Bryan Caforio,D,2016,CA-25,-0.8,R+0.8
Bryan Leib,R,2018,PA-03,5.8,R+5.8
Bryan Steil,R,2024,WI-01,1.8,R+1.8
Brynne Kennedy,D,2020,CA-04,2.2,D+2.2
Buddy Carter,R,2024,GA-01,2.4,R+2.4
Burgess Owens,R,2024,UT-04,2.9,R+2.9
Burt Lancaster,R,2016,CA-19,2.0,R+2
Burton LeFlore,D,2014,AL-01,1.1,D+1.1
Buzz Patterson,R,2020,CA-07,1.9,R+1.9
Byron Best,D,2024,SC-03,-4.7,R+4.7
Byron Donalds,R,2024,FL-19,-0.9,D+0.9
C. Aaron Swisher,D,2020,ID-02,-4.2,R+4.2
Caesar Gonzales,R,2022,GA-13,-7.5,D+7.5
Caitlin Draper,D,2024,AR-03,-2.9,R+2.9
Caleb Rudow,D,2024,NC-11,1.5,D+1.5
Callie Barr,D,2024,MI-01,2.6,D+2.6
Calvin Sidle,D,2016,KY-04,0.6,D+0.6
Calvin Wimbish,R,2022,FL-10,0.8,R+0.8
Cameron Parsons,D,2022,TN-01,2.4,D+2.4
Cameron Webb,D,2020,VA-05,4.8,D+4.8
Campbell Cavasso,R,2018,HI-01,-17.0,D+17
Candance Valenzuela,D,2020,TX-24,-1.8,R+1.8
Candice Miller,R,2014,MI-10,17.8,R+17.8
Candius Stearns,R,2018,MI-09,-3.9,D+3.9
Cara Mund (Ind),D,2022,ND-AL,15.6,D+15.6
Carl DeMaio,R,2014,CA-52,0.3,R+0.3
Carl Domino,R,2014,FL-18,-23.0,D+23.0
Carl Marlinga,D,2024,MI-10,2.9,D+2.9
Carla Spalding,R,2022,FL-25,-0.4,D+0.4
Carlos Curbelo,R,2018,FL-26,6.5,R+6.5
Carlos Gimenez,R,2024,FL-28,2.7,R+2.7
Carlos Santamaria,R,2016,CA-05,-5.6,D+5.6
Carlos Santiago-Cano,R,2020,NY-12,6.6,R+6.6
Carmela Conroy,D,2024,WA-05,-8.9,R+8.9
Carmen Bucco,R,2024,NJ-10,1.7,R+1.7
Carmen Goers,R,2024,WA-08,-0.7,D+0.7
Carmen Maria Montiel,R,2022,TX-18,-2.1,D+2.1
Carol Blood,D,2024,NE-01,-2.2,R+2.2
Carol Iannuzzi,D,2020,TX-26,-1.1,R+1.1
Carol Miller,R,2024,WV-01,-3.2,D+3.2
Carol Platt,R,2014,FL-09,12.0,R+12.0
Carol Shea-Porter,D,2016,NH-01,8.4,D+8.4
Caroleene Dobson,R,2024,AL-02,-2.2,D+2.2
Caroline Colarusso,R,2022,MA-05,4.8,R+4.8
Caroline Kane,R,2024,TX-07,2.5,R+2.5
Carolyn Bourdeaux,D,2020,GA-07,1.9,D+1.9
Carolyn Long,D,2020,WA-03,-5.3,R+5.3
Carolyn Maloney,D,2020,NY-12,-6.6,R+6.6
Carolyn Salter,D,2020,TX-05,2.5,D+2.5
Case Iron Eyes,D,2016,ND-AL,-7.7,R+7.7
Casey Lucius,R,2016,CA-20,4.5,R+4.5
Casper Stockham,R,2020,CO-07,0.0,R+0
Cassy Garcia,R,2022,TX-28,-11.8,D+11.8
Cataline Lauf,R,2022,IL-11,0.6,R+0.6
Catherine Krantz,D,2018,TX-04,-1.7,R+1.7
Catherine Ping,R,2016,IN-07,5.6,R+5.6
Cathy Albro,D,2018,MI-03,-7.4,R+7.4
Cathy Bernstein,R,2020,NY-10,6.9,R+6.9
Cathy Kunkel,D,2020,WV-02,11.1,D+11.1
Cathy McMorris Rodgers,R,2022,WA-05,5.4,R+5.4
Cedric Richmond,D,2020,LA-02,5.4,D+5.4
Celeste Maloy,R,2024,UT-02,-0.4,D+0.4
Celeste Williams,D,2020,AR-03,-1.3,R+1.3
Chad Koppie,R,2024,IL-07,1.6,R+1.6
Chaka Fattah,D,2014,PA-02,-3.2,R+3.2
Charlene Albarran,D,2016,UT-02,3.5,D+3.5
Charles Anthony,R,2020,MD-03,-0.4,D+0.4
Charles Baricevic,D,2016,IL-12,0.7,D+0.7
Charles Djou,R,2014,HI-01,37.4,R+37.4
Charles Graham,D,2022,NC-07,3.5,D+3.5
Charles Hatchett,D,2014,KY-01,-4.1,R+4.1
Charles Hernick,R,2016,VA-08,5.1,R+5.1
Charles Langworthy,R,2020,MI-09,-5.9,D+5.9
Charles Lingerfelt,R,2016,TX-30,3.1,R+3.1
Charles Long,R,2014,MD-03,2.1,R+2.1
Charles Stockham,R,2016,CO-01,5.7,R+5.7
