district,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population_acs,source
FL-22,40.54,22.23,26.99,18.3,32.47,17.02,23.72,35.99,23.28,42.6,105968,769221,ACS_2023_tract_to_new_lines
FL-23,32.29,20.26,26.89,12.03,40.82,16.73,22.99,29.97,30.31,45.3,75351,769221,ACS_2023_tract_to_new_lines
FL-24,23.11,4.68,6.75,18.43,70.14,19.95,28.22,32.23,19.61,38.8,60579,769221,ACS_2023_tract_to_new_lines
FL-25,48.21,30.6,26.78,17.61,25.01,14.42,21.72,33.4,30.46,47.9,86013,769221,ACS_2023_tract_to_new_lines
FL-26,34.29,5.5,6.94,28.78,58.77,17.13,25.46,36.64,20.77,42.7,84331,769221,ACS_2023_tract_to_new_lines
FL-27,42.18,10.0,5.16,32.17,52.66,17.81,25.76,34.08,22.35,42.8,90977,769221,ACS_2023_tract_to_new_lines
FL-28,29.47,6.21,9.65,23.26,60.88,18.22,25.56,35.39,20.83,41.5,79632,769221,ACS_2023_tract_to_new_lines
LA-01,32.26,22.57,39.12,9.69,28.62,18.81,26.61,32.16,22.42,40.5,74676,776291,ACS_2023_tract_to_new_lines
LA-02,35.56,27.22,44.31,8.33,20.14,22.49,26.02,31.25,20.24,38.0,84105,776306,ACS_2023_tract_to_new_lines
LA-03,23.68,18.38,51.04,5.3,25.29,19.91,26.84,32.61,20.63,38.0,66350,776279,ACS_2023_tract_to_new_lines
LA-04,20.83,14.75,47.2,6.08,31.97,19.88,25.67,31.72,22.73,39.1,58174,776277,ACS_2023_tract_to_new_lines
LA-05,20.93,15.17,47.08,5.76,31.99,21.41,25.34,31.44,21.81,38.1,54176,776288,ACS_2023_tract_to_new_lines
LA-06,25.85,11.45,21.31,14.4,52.84,20.72,27.32,31.72,20.24,37.8,53983,776316,ACS_2023_tract_to_new_lines
AL-01,26.74,20.79,48.21,5.95,25.05,18.5,24.21,33.06,24.23,41.2,65923,717754,ACS_2023_tract_to_new_lines
AL-02,24.15,14.96,38.72,9.19,37.13,20.71,24.49,32.27,22.54,39.5,59491,717755,ACS_2023_tract_to_new_lines
AL-03,23.47,18.59,55.32,4.87,21.22,21.37,23.32,32.72,22.58,40.3,61155,717754,ACS_2023_tract_to_new_lines
AL-04,20.58,18.32,66.95,2.26,12.48,19.03,23.18,33.68,24.1,40.8,61156,717754,ACS_2023_tract_to_new_lines
AL-05,35.53,27.05,45.65,8.47,18.82,19.67,25.01,34.12,21.21,40.3,82319,717754,ACS_2023_tract_to_new_lines
AL-06,38.48,30.63,42.51,7.85,19.0,18.67,26.48,33.43,21.42,39.9,87907,717754,ACS_2023_tract_to_new_lines
AL-07,25.02,13.74,28.23,11.28,46.74,24.86,23.13,30.42,21.59,38.7,55681,717754,ACS_2023_tract_to_new_lines
