district,pct_white_nh,pct_black,pct_hispanic,pct_asian,pct_other,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population,source
KY-05,94.13,1.36,1.53,0.39,2.59,15.53,14.79,80.03,0.74,4.44,18.04,23.67,34.54,23.75,41.3,44884,745869,ACS_2023_5yr
KY-06,79.73,8.06,6.2,2.18,3.83,35.92,30.59,52.37,5.32,11.72,23.84,24.62,31.59,19.96,37.2,66879,753703,ACS_2023_5yr
LA-01,68.47,12.36,11.49,2.22,5.46,33.67,26.18,46.24,7.49,20.09,18.17,25.79,32.74,23.3,39.9,73782,765531,ACS_2023_5yr_old_lines
LA-02,26.35,57.87,9.41,2.51,3.85,27.53,12.35,17.63,15.18,54.84,20.06,27.79,31.79,20.36,37.9,50995,761873,ACS_2023_5yr_old_lines
LA-03,65.24,23.63,5.26,1.49,4.39,23.92,18.45,50.47,5.47,25.6,19.63,26.89,32.78,20.7,37.4,61410,768212,ACS_2023_5yr_old_lines
LA-04,55.98,33.92,4.71,0.98,4.41,20.55,14.3,45.24,6.25,34.2,20.17,25.46,31.59,22.78,38.0,51086,768802,ACS_2023_5yr_old_lines
LA-05,58.05,34.09,3.65,0.78,3.42,20.52,14.78,47.05,5.75,32.42,21.51,25.3,31.33,21.86,37.6,50058,770235,ACS_2023_5yr_old_lines
LA-06,62.97,23.45,7.2,2.28,4.1,32.91,23.52,43.63,9.39,23.46,23.67,26.56,30.69,19.08,35.9,76053,786372,ACS_2023_5yr_old_lines
MA-01,70.15,5.34,19.0,2.16,3.35,31.83,26.85,49.0,4.97,19.17,19.22,22.79,33.61,24.38,42.0,74087,776064,ACS_2023_5yr
MA-02,71.68,4.71,11.47,6.97,5.18,45.75,36.02,40.17,9.73,14.08,22.14,23.63,33.34,20.89,39.6,95618,776258,ACS_2023_5yr
MA-03,61.09,3.98,22.22,7.81,4.9,39.58,29.86,36.36,9.71,24.07,19.56,26.11,34.73,19.6,39.2,97616,777948,ACS_2023_5yr
MA-04,77.61,3.24,6.47,6.52,6.17,49.54,40.34,41.04,9.2,9.42,18.51,24.48,35.49,21.52,40.9,113712,781422,ACS_2023_5yr
MA-05,63.95,4.83,11.15,13.31,6.76,60.91,43.29,24.22,17.63,14.86,20.96,26.75,31.57,20.73,39.2,125082,773886,ACS_2023_5yr
MA-06,76.8,3.21,11.06,4.71,4.22,49.19,41.73,38.83,7.46,11.98,16.97,23.28,35.49,24.26,43.2,115872,778172,ACS_2023_5yr
MA-07,38.88,21.14,22.13,10.96,6.88,48.99,28.79,13.03,20.2,37.98,32.5,28.84,24.51,14.15,32.7,88740,768505,ACS_2023_5yr
MA-08,66.16,9.83,7.04,9.47,7.5,51.79,39.26,30.42,12.53,17.79,20.5,26.92,31.79,20.79,39.2,115814,777303,ACS_2023_5yr
MA-09,83.12,2.51,6.09,1.51,6.77,41.99,38.24,48.34,3.75,9.67,16.02,20.34,34.5,29.14,46.9,97651,782837,ACS_2023_5yr
MD-01,72.5,14.77,5.77,2.27,4.68,34.15,27.48,49.02,6.67,16.83,18.05,22.96,34.57,24.42,41.8,92720,776906,ACS_2023_5yr
MD-02,60.02,23.57,6.39,5.67,4.36,45.21,30.83,33.33,14.38,21.46,19.19,24.49,33.36,22.96,40.1,98346,769821,ACS_2023_5yr
MD-03,57.52,17.23,9.11,10.29,5.86,52.76,33.79,28.05,18.97,19.19,17.88,27.2,34.57,20.36,39.6,128806,773638,ACS_2023_5yr
MD-04,10.26,54.65,26.14,4.94,4.02,32.77,6.5,4.77,26.27,62.46,21.93,27.59,32.7,17.78,37.1,90739,758555,ACS_2023_5yr
MD-05,43.54,39.97,7.49,2.87,6.13,41.02,18.19,27.41,22.83,31.57,17.94,26.52,36.56,18.97,39.6,128236,782752,ACS_2023_5yr
MD-06,60.14,12.45,13.61,8.86,4.94,40.33,25.74,38.64,14.59,21.03,18.66,26.58,34.59,20.16,39.4,100216,784302,ACS_2023_5yr
MD-07,29.47,55.04,8.39,2.9,4.2,31.88,15.37,17.68,16.5,50.44,22.08,29.02,29.63,19.28,36.4,61623,757178,ACS_2023_5yr
MD-08,44.3,16.7,19.87,13.48,5.65,63.37,37.43,10.25,25.94,26.38,17.02,25.19,34.45,23.33,40.9,135007,767586,ACS_2023_5yr
ME-01,89.56,1.87,2.33,1.42,4.81,42.74,39.25,52.13,3.49,5.13,16.94,23.09,33.81,26.15,44.3,84367,689679,ACS_2023_5yr
ME-02,91.72,1.39,1.82,0.77,4.3,27.86,25.87,67.61,1.98,4.53,16.61,21.58,34.44,27.37,45.3,61795,687721,ACS_2023_5yr
MI-01,89.83,1.22,2.22,0.64,6.09,27.43,25.54,65.93,1.89,6.64,16.41,19.65,33.37,30.57,47.4,62352,780170,ACS_2023_5yr
MI-02,88.09,1.94,4.81,0.57,4.59,21.95,20.2,70.08,1.75,7.96,19.42,22.77,33.71,24.1,41.3,66266,780291,ACS_2023_5yr
MI-03,70.83,10.56,10.69,2.75,5.16,37.57,31.94,43.92,5.63,18.51,23.72,26.54,29.93,19.81,35.7,75747,774756,ACS_2023_5yr
MI-04,75.81,7.9,8.87,2.43,4.99,32.59,28.1,52.22,4.49,15.19,22.74,24.34,31.05,21.86,37.5,72434,775911,ACS_2023_5yr
MI-05,85.67,3.86,5.34,0.7,4.43,23.31,20.8,67.66,2.51,9.03,17.93,22.57,34.36,25.14,42.3,68201,773369,ACS_2023_5yr
MI-06,69.53,9.62,5.28,10.18,5.4,51.5,37.02,35.83,14.48,12.67,23.38,23.17,32.36,21.08,38.9,94632,768429,ACS_2023_5yr
MI-07,80.86,5.48,5.8,3.3,4.56,37.01,31.15,52.99,5.85,10.0,22.81,23.09,32.42,21.67,38.9,78823,774470,ACS_2023_5yr
MI-08,74.24,14.88,5.5,1.07,4.3,24.33,20.2,57.74,4.13,17.93,18.81,22.88,33.7,24.61,41.3,61521,771369,ACS_2023_5yr
MI-09,88.71,2.47,3.89,1.26,3.66,28.7,25.92,64.68,2.78,6.62,16.63,22.18,37.42,23.78,43.4,83485,775194,ACS_2023_5yr
MI-10,72.37,13.24,3.12,6.45,4.81,29.88,22.56,53.78,7.33,16.33,19.05,24.02,33.98,22.95,40.9,74956,770400,ACS_2023_5yr
MI-11,67.87,12.92,5.47,8.64,5.11,50.18,36.34,34.59,13.84,15.23,19.18,25.03,33.57,22.21,40.8,91040,773603,ACS_2023_5yr
MI-12,46.2,43.78,3.3,1.75,4.97,26.56,15.7,32.88,10.86,40.56,20.45,24.72,32.78,22.05,37.6,58942,766047,ACS_2023_5yr
MI-13,37.62,44.91,10.33,2.67,4.46,22.15,12.38,28.93,9.77,48.91,21.94,26.03,32.05,19.99,36.4,49887,767586,ACS_2023_5yr
MN-01,82.66,3.75,7.36,2.82,3.42,31.74,28.43,58.37,3.3,9.9,20.78,24.18,31.09,23.96,39.0,78094,713894,ACS_2023_5yr
MN-02,75.54,6.16,7.78,5.29,5.22,42.85,35.77,44.61,7.08,12.54,18.96,27.41,34.11,19.51,38.0,107796,721631,ACS_2023_5yr
MN-03,70.94,9.49,5.28,8.57,5.72,50.83,41.5,35.58,9.34,13.58,15.33,27.19,34.8,22.68,40.6,107603,706969,ACS_2023_5yr
MN-04,63.2,10.28,7.44,13.29,5.79,47.51,38.08,32.44,9.42,20.05,21.35,27.34,30.99,20.33,37.0,88368,706101,ACS_2023_5yr
MN-05,60.82,17.02,10.48,5.42,6.26,50.6,40.67,27.14,9.94,22.26,26.12,30.43,27.01,16.44,34.6,82864,707120,ACS_2023_5yr
MN-06,84.09,4.68,3.74,2.99,4.5,35.07,31.22,56.45,3.85,8.48,19.66,27.29,34.74,18.31,37.5,101817,724855,ACS_2023_5yr
MN-07,88.25,1.46,5.4,0.99,3.91,24.61,22.97,68.44,1.64,6.95,17.58,22.66,32.69,27.07,41.3,72339,714086,ACS_2023_5yr
MN-08,87.76,1.21,2.12,1.04,7.87,27.55,25.58,65.12,1.96,7.34,17.72,22.35,33.24,26.69,42.7,74275,719060,ACS_2023_5yr
MO-01,41.5,45.78,4.5,3.4,4.82,37.2,23.66,23.06,13.54,39.74,22.48,27.08,30.48,19.96,36.9,60099,759116,ACS_2023_5yr_old_lines
MO-02,83.47,3.0,3.27,4.56,5.71,49.55,42.32,43.73,7.23,6.72,16.3,24.23,34.38,25.09,42.1,99979,765299,ACS_2023_5yr_old_lines
MO-03,85.2,4.65,3.45,2.2,4.5,35.2,30.71,57.14,4.49,7.66,21.02,24.65,32.37,21.96,39.2,80027,775773,ACS_2023_5yr_old_lines
MO-04,84.72,4.28,5.13,0.96,4.9,24.87,21.57,66.3,3.3,8.83,21.08,23.7,32.05,23.17,38.5,65428,777788,ACS_2023_5yr_old_lines
